"Production Type","2022 [MW]"
"Biomass","8332"
"Fossil Brown coal/Lignite","18544"
"Fossil Coal-derived gas","0"
"Fossil Gas","30553"
"Fossil Hard coal","18830"
"Fossil Oil","3966"
"Fossil Oil shale","n/e"
"Fossil Peat","n/e"
"Geothermal","51"
"Hydro Pumped Storage","9280"
"Hydro Run-of-river and poundage","3660"
"Hydro Water Reservoir","1397"
"Marine","n/e"
"Nuclear","4056"
"Other","1679"
"Other renewable","352"
"Solar","57744"
"Waste","1599"
"Wind Offshore","7787"
"Wind Onshore","55289"
"Total Grand capacity","223119"
